"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"1189","ENSG00000072315",4.96709058509098,-1.81834450054388,3.20006460756186e-05,0.000390407882122546,"TRPC5"
"1211","ENSG00000072858",92.3671852453647,1.38186955922949,0.000110446524187352,0.0010804175632043,"SIDT1"
"1228","ENSG00000073464",126.410578947629,1.00113021924683,0.00603955983189916,0.0277239629359066,"CLCN4"
"1239","ENSG00000073737",1286.01913971846,-2.10295498310112,3.80593034389085e-18,1.9037263580142e-15,"DHRS9"
"1247","ENSG00000073910",623.986949488738,1.64888600920951,4.87070174350322e-13,7.24381798592701e-11,"FRY"
"1292","ENSG00000075213",529.356420515359,1.41444350251696,3.37343607722078e-09,1.69871750922064e-07,"SEMA3A"
"1318","ENSG00000075643",2300.94111975303,-1.36092598667091,5.13394970218808e-08,1.71772685019029e-06,"MOCOS"
"1359","ENSG00000076864",7305.62047725965,-1.40688884746215,2.52493511867602e-07,6.47125130501322e-06,"RAP1GAP"
"1425","ENSG00000078401",197.348813349177,1.74306724942396,7.24849316317543e-06,0.000111502704671051,"EDN1"
"1494","ENSG00000080493",560.590176897916,-1.22672041808204,0.00123842131850805,0.00769780363201795,"SLC4A4"
"1500","ENSG00000080573",4883.65580888231,1.51998020393378,3.17337375433997e-09,1.61149396134097e-07,"COL5A3"
"1531","ENSG00000081189",1733.77667087106,1.34010762537247,9.63440158900177e-08,2.87995677778009e-06,"MEF2C"
"1546","ENSG00000081803",237.334584909192,1.36550211748843,1.56002233204354e-05,0.000213592108710267,"CADPS2"
"1553","ENSG00000081985",239.598419745961,2.9670742192651,3.36933219411872e-18,1.74345513465329e-15,"IL12RB2"
"1705","ENSG00000086696",2835.28268815658,1.82493564744139,8.50409108938256e-12,9.08273244749286e-10,"HSD17B2"
"1832","ENSG00000089225",1558.9965726999,1.10409028823539,0.000613430906667562,0.00438444590876563,"TBX5"
"1868","ENSG00000090104",87.63746627954,1.66527877481975,0.000124685381236477,0.00118984345363089,"RGS1"
"1932","ENSG00000091513",169.122696804171,-1.50471119697269,4.15827422390266e-09,2.04587091816011e-07,"TF"
"2054","ENSG00000096060",1066.67173513186,1.22269286949884,8.58692134119195e-07,1.84342405788164e-05,"FKBP5"
"2087","ENSG00000099260",440.184169921923,1.52724973306644,1.50993700869642e-06,3.01304717453437e-05,"PALMD"
"2333","ENSG00000100505",154.140839968315,-1.32645023993412,4.8750713683203e-05,0.000549353784134933,"TRIM9"
"2420","ENSG00000100979",13552.7346576097,1.02193404754469,2.37705834460255e-07,6.15002371019067e-06,"PLTP"
"2547","ENSG00000101470",16.5970007475878,1.11244046494886,0.00186106565144936,0.0107702087025257,"TNNC2"
"2550","ENSG00000101489",41.8856057657188,2.68774720643154,2.35512324181726e-13,3.88362410623185e-11,"CELF4"
"2596","ENSG00000101916",139.758439096466,2.35032044396669,2.64973965968575e-09,1.37584752018147e-07,"TLR8"
"2615","ENSG00000102010",78.9338894269654,1.3200030176255,2.72415402358051e-05,0.000340797459590239,"BMX"
"2641","ENSG00000102145",79.8843000880757,-1.6445603547977,3.25965465140674e-06,5.71429646016466e-05,"GATA1"
"2653","ENSG00000102230",71.2331044460426,1.43912720542003,0.00185185632465707,0.010725185645621,"PCYT1B"
"2659","ENSG00000102271",17.600783335911,-1.30064930832891,9.75970370655897e-05,0.00097636075880416,"KLHL4"
"2664","ENSG00000102312",7740.70832367681,-2.62319976900501,4.36184299405726e-21,3.53804410642288e-18,"PORCN"
"2669","ENSG00000102359",637.504360674868,1.13553229834445,9.98223312611776e-06,0.000145997456423512,"SRPX2"
"2889","ENSG00000104177",87.5762942104588,1.55366478868042,0.000704688448743088,0.00488680764049645,"MYEF2"
"2933","ENSG00000104447",237.05410597441,1.09795400620038,0.00229572185132217,0.0126963994187205,"TRPS1"
"2980","ENSG00000104826",1297.6459976037,-1.99002264697276,1.40015038427939e-08,5.7406165755455e-07,"LHB"
"3003","ENSG00000104894",764.064289307101,2.07655590012556,2.81187612061861e-14,6.1233842364052e-12,"CD37"
"3012","ENSG00000104921",22.1772786677934,1.13002103255234,0.0103708257018666,0.0424855611472047,"FCER2"
"3047","ENSG00000105141",155.21226901655,-1.57173713661786,0.000245366458959548,0.00206400823912555,"CASP14"
"3112","ENSG00000105419",704.517050849667,1.08882413037096,1.48465439981563e-06,2.96851751147679e-05,"MEIS3"
"3288","ENSG00000106278",26.7620205406614,1.73159036621392,0.00284226087974857,0.0151378764015997,"PTPRZ1"
"3328","ENSG00000106536",121.168556726493,1.16919462552772,0.000710053984106761,0.00491696819820307,"POU6F2"
"3347","ENSG00000106624",5592.294343344,1.17378062895567,8.95915247584066e-12,9.40147147220035e-10,"AEBP1"
"3350","ENSG00000106633",235.46125951734,1.17183440093707,0.000156335398867527,0.00142785696616318,"GCK"
"3367","ENSG00000106772",141.920980935019,1.31099455284244,0.00210344297906255,0.0118662651668468,"PRUNE2"
"3370","ENSG00000106789",3189.46931475307,-1.22923418465283,0.00238323339894548,0.0130994543984814,"CORO2A"
